102691,415,10
102692,414,9
102712,201,110
102732,410,76
102736,403,29
102737,201,134
102759,402,88
102763,403,35
102766,405,20
102768,201,128
102770,402,85
102771,406,5
102772,413,4
102814,407,5
102815,407,5
102834,408,63
102854,401,31
102874,413,8
102875,420,27
102876,410,46
102896,408,19
102897,408,20
102916,404,46
102956,401,53
102976,408,22
102996,409,59
103016,403,27
103036,402,75
103057,407,17
103078,406,4
103079,406,16
103097,406,4
103117,201,77
103137,201,30
103157,406,9
103178,410,13
103197,413,14
103220,409,92
103222,410,80
103224,408,22
103225,408,22
103226,408,22
103227,408,22
103228,408,22
103229,408,22
103230,408,22
103233,408,22
103237,408,22
103238,408,22
103239,408,22
103240,408,22
103242,408,22
103243,408,22
103244,408,22
103245,408,22
103246,408,22
103247,408,22
103248,408,22
103249,408,22
103250,408,22
103251,408,22
103252,408,67
